Bi2201Gd041029nonannealed 	Bi2201Eu050201annealed 	Temperature 
2.991515 	0.115957 	237.706242 
2.992479 	0.118020 	238.207957 
2.993825 	0.117569 	238.712287 
2.996196 	0.117405 	239.212345 
2.997911 	0.119019 	239.715428 
2.999922 	0.120627 	240.221067 
3.001244 	0.119829 	240.721576 
3.004580 	0.122485 	241.224989 
3.007217 	0.124408 	241.731066 
3.009581 	0.124000 	242.231856 
3.011752 	0.123688 	242.734723 
3.012990 	0.124188 	243.239492 
3.015496 	0.124887 	243.740362 
3.018292 	0.125012 	244.242309 
3.019187 	0.124350 	244.746132 
3.021392 	0.124434 	245.251403 
3.024078 	0.125066 	245.751767 
3.027304 	0.125767 	246.253380 
3.028929 	0.125681 	246.755831 
3.030904 	0.125846 	247.259937 
3.034318 	0.126562 	247.764543 
3.036626 	0.127236 	248.270329 
3.038580 	0.127284 	248.770535 
3.038914 	0.126281 	249.271540 
3.041454 	0.126993 	249.772827 
3.044460 	0.127514 	250.274745 
3.045571 	0.127386 	250.776504 
3.048505 	0.126826 	251.278189 
3.050891 	0.126883 	251.780312 
3.053994 	0.127225 	252.282488 
3.054649 	0.127634 	252.784107 
3.058144 	0.127729 	253.284968 
3.061737 	0.126898 	253.785538 
3.063874 	0.127168 	254.285999 
3.064890 	0.126603 	254.790059 
3.066067 	0.126591 	255.293642 
3.067368 	0.125113 	255.795888 
3.068780 	0.126005 	256.296417 
3.072493 	0.125186 	256.801158 
3.075210 	0.123967 	257.304217 
3.079755 	0.125474 	257.805354 
3.082112 	0.124524 	258.309257 
3.085933 	0.123830 	258.810777 
3.089073 	0.124604 	259.314925 
3.092333 	0.123716 	259.817318 
3.095966 	0.122945 	260.321173 
3.099397 	0.123298 	260.822721 
3.102647 	0.122850 	261.325031 
3.105354 	0.122410 	261.829069 
3.108212 	0.122057 	262.330084 
3.112597 	0.121576 	262.831561 
3.115881 	0.121477 	263.334022 
3.118290 	0.121660 	263.836592 
3.120204 	0.121408 	264.339291 
3.120023 	0.121828 	264.842036 
3.122302 	0.121728 	265.344494 
3.123876 	0.122257 	265.846298 
3.126512 	0.122336 	266.346967 
3.127913 	0.122832 	266.847460 
3.131778 	0.123527 	267.349836 
3.136068 	0.123136 	267.850891 
3.132872 	0.123734 	268.353717 
