ch1+ 	 ch1- 	ch2+ 	 ch2- 	ch5+ 	 Temperature 
+3.13846046E-04 	 -3.09817107E-04 	+1.02569877E-05 	 -6.22012340E-06 	+1.07798604E+00 	 45.544615 
+3.13639854E-04 	 -3.09567071E-04 	+1.03196385E-05 	 -6.28196590E-06 	+1.07762719E+00 	 45.752241 
+3.13412224E-04 	 -3.09334515E-04 	+1.02577981E-05 	 -6.29342962E-06 	+1.07726994E+00 	 45.958859 
+3.13146069E-04 	 -3.09124471E-04 	+1.02554897E-05 	 -6.29483977E-06 	+1.07691421E+00 	 46.164513 
+3.12950208E-04 	 -3.08948013E-04 	+1.01519217E-05 	 -6.27483135E-06 	+1.07655904E+00 	 46.369752 
+3.12733256E-04 	 -3.08800648E-04 	+1.01212471E-05 	 -6.28015788E-06 	+1.07620509E+00 	 46.574192 
+3.12576040E-04 	 -3.08566805E-04 	+1.01570533E-05 	 -6.22636577E-06 	+1.07585114E+00 	 46.778532 
+3.12334407E-04 	 -3.08413365E-04 	+1.01162177E-05 	 -6.24888460E-06 	+1.07549957E+00 	 46.981395 
+3.12085364E-04 	 -3.08261059E-04 	+9.99976940E-06 	 -6.29573982E-06 	+1.07514883E+00 	 47.183674 
+3.11857447E-04 	 -3.08069541E-04 	+1.00859498E-05 	 -6.31002121E-06 	+1.07479830E+00 	 47.385722 
+3.11585498E-04 	 -3.07907678E-04 	+1.00260234E-05 	 -6.33908397E-06 	+1.07444932E+00 	 47.586766 
+3.11463474E-04 	 -3.07720415E-04 	+1.00670489E-05 	 -6.42596414E-06 	+1.07410045E+00 	 47.787631 
+3.11164091E-04 	 -3.07478950E-04 	+1.03045657E-05 	 -6.60465161E-06 	+1.07375284E+00 	 47.987654 
+3.10942992E-04 	 -3.07178715E-04 	+1.04130718E-05 	 -6.65231863E-06 	+1.07334799E+00 	 48.220464 
+3.10741549E-04 	 -3.06955858E-04 	+1.05457898E-05 	 -6.60243527E-06 	+1.07294455E+00 	 48.452299 
+3.10467968E-04 	 -3.06677351E-04 	+1.04524758E-05 	 -6.58916263E-06 	+1.07254272E+00 	 48.683042 
+3.10303635E-04 	 -3.06449069E-04 	+1.02287331E-05 	 -6.33887780E-06 	+1.07214101E+00 	 48.913547 
+3.10109872E-04 	 -3.06256716E-04 	+1.02751862E-05 	 -6.39940988E-06 	+1.07174145E+00 	 49.142647 
+3.09874367E-04 	 -3.06047854E-04 	+1.05754516E-05 	 -6.60152924E-06 	+1.07134202E+00 	 49.371501 
+3.09648780E-04 	 -3.05838256E-04 	+1.05065720E-05 	 -6.66035399E-06 	+1.07094396E+00 	 49.599397 
+3.09410962E-04 	 -3.05648605E-04 	+1.02915853E-05 	 -6.49825782E-06 	+1.07054727E+00 	 49.826334 
